train,model,fixed_epoch,test,macro_precision,macro_recall,macro_f1,webnlg_precision,webnlg_recall,webnlg_f1
tekgen,Qwen2.5-1.5B,3,tum_p99,0.5678,0.5031,0.5050,0.4750,0.4225,0.4472
tekgen,Llama3.2-1B,3,rebel,0.5044,0.4211,0.4214,0.4498,0.3162,0.3713
tekgen,Llama3.2-1B,3,lagrange,0.7133,0.5119,0.5747,0.6800,0.4523,0.5432
tekgen,Llama3.2-1B,3,tum_full,0.5913,0.4982,0.5078,0.4884,0.4120,0.4470
tekgen,Llama3.2-1B,3,tum_p99,0.5952,0.5166,0.5190,0.4921,0.4302,0.4590
tum_full,Gemma3-1B,6,rebel,0.4814,0.4563,0.4334,0.4488,0.3847,0.4143
tum_full,Gemma3-1B,6,lagrange,0.6388,0.4227,0.4837,0.6208,0.3874,0.4771
tum_full,Gemma3-1B,6,tum_full,0.8210,0.7688,0.7743,0.7546,0.6811,0.7159
tum_full,Gemma3-1B,6,tum_p99,0.8361,0.7854,0.7911,0.7646,0.7066,0.7344
tum_full,Qwen2.5-1.5B,6,rebel,0.4548,0.4765,0.4302,0.4372,0.4104,0.4234
tum_full,Qwen2.5-1.5B,6,lagrange,0.6244,0.4827,0.5209,0.6068,0.4485,0.5158
tum_full,Qwen2.5-1.5B,6,tum_full,0.8279,0.8096,0.8008,0.7577,0.7401,0.7488
tum_full,Qwen2.5-1.5B,6,tum_p99,0.8363,0.8277,0.8144,0.7668,0.7657,0.7662
tum_full,Llama3.2-1B,6,rebel,0.4768,0.4489,0.4265,0.4473,0.3801,0.4110
tum_full,Llama3.2-1B,6,lagrange,0.6354,0.4223,0.4828,0.6155,0.3836,0.4726
tum_full,Llama3.2-1B,6,tum_full,0.8374,0.7780,0.7871,0.7774,0.6942,0.7334
tum_full,Llama3.2-1B,6,tum_p99,0.8501,0.7924,0.8021,0.7903,0.7104,0.7482
tum_p99,Gemma3-1B,6,rebel,0.4411,0.4731,0.4190,0.4194,0.4057,0.4125
tum_p99,Gemma3-1B,6,lagrange,0.6486,0.4475,0.5044,0.6319,0.4135,0.4999
tum_p99,Gemma3-1B,6,tum_full,0.8284,0.7818,0.7840,0.7634,0.6959,0.7281
tum_p99,Gemma3-1B,6,tum_p99,0.8292,0.7889,0.7874,0.7503,0.7059,0.7274
tum_p99,Qwen2.5-1.5B,4,rebel,0.4604,0.4912,0.4405,0.4412,0.4183,0.4294
tum_p99,Qwen2.5-1.5B,4,lagrange,0.6326,0.4724,0.5181,0.6160,0.4407,0.5138
tum_p99,Qwen2.5-1.5B,4,tum_full,0.8346,0.8082,0.8031,0.7767,0.7315,0.7534
tum_p99,Qwen2.5-1.5B,4,tum_p99,0.8412,0.8142,0.8104,0.7813,0.7396,0.7599
tum_p99,Llama3.2-1B,6,rebel,0.4809,0.4646,0.4382,0.4506,0.3784,0.4114
tum_p99,Llama3.2-1B,6,lagrange,0.6517,0.4438,0.5011,0.6266,0.3951,0.4846
tum_p99,Llama3.2-1B,6,tum_full,0.8428,0.7811,0.7918,0.7899,0.6941,0.7389
tum_p99,Llama3.2-1B,6,tum_p99,0.8481,0.7913,0.8006,0.7910,0.7080,0.7472
tum_p99_new,Gemma3-1B,6,rebel,0.5322,0.4720,0.4725,0.5186,0.3943,0.4480
tum_p99_new,Gemma3-1B,6,lagrange,0.6188,0.4609,0.5024,0.6067,0.4135,0.4918
tum_p99_new,Gemma3-1B,6,tum_full,0.9320,0.9083,0.9106,0.8868,0.8420,0.8638
tum_p99_new,Gemma3-1B,6,tum_p99,0.8989,0.8778,0.8784,0.8497,0.8223,0.8358
tum_p99_new,Qwen2.5-1.5B,7,rebel,0.5129,0.4983,0.4754,0.4961,0.4119,0.4501
tum_p99_new,Qwen2.5-1.5B,7,lagrange,0.5929,0.4785,0.5068,0.6014,0.4531,0.5168
tum_p99_new,Qwen2.5-1.5B,7,tum_full,0.9328,0.9340,0.9256,0.8947,0.8850,0.8898
tum_p99_new,Qwen2.5-1.5B,7,tum_p99,0.9053,0.9064,0.8970,0.8589,0.8601,0.8595
tum_p99_new,Llama3.2-1B,6,rebel,0.5149,0.4932,0.4735,0.4820,0.4043,0.4397
tum_p99_new,Llama3.2-1B,6,lagrange,0.5952,0.4837,0.5072,0.5771,0.4427,0.5011
tum_p99_new,Llama3.2-1B,6,tum_full,0.9272,0.9005,0.9041,0.8823,0.8346,0.8578
tum_p99_new,Llama3.2-1B,6,tum_p99,0.9063,0.8775,0.8819,0.8623,0.8175,0.8393
